Date : 2021-08-24 09:33:53
Directory : /home/keyhan/Desktop/AsemanWeb
Total : 13637 files,  4093544 codes, 589654 comments, 416939 blanks, all 5100137 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/listPaging.ts                                                                  | TypeScript         |        229 |          5 |         67 |        301 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/listView.ts                                                                    | TypeScript         |      1,060 |         33 |        296 |      1,389 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/listWidget.ts                                                                  | TypeScript         |      1,325 |         44 |        356 |      1,725 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/rangeMap.ts                                                                    | TypeScript         |        113 |         37 |         40 |        190 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/rowCache.ts                                                                    | TypeScript         |         70 |         12 |         20 |        102 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/splice.ts                                                                      | TypeScript         |         10 |          4 |          5 |         19 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/menu/menu.ts                                                                        | TypeScript         |      1,067 |         54 |        260 |      1,381 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/menu/menubar.css                                                                    | CSS                |         74 |          6 |         16 |         96 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/menu/menubar.ts                                                                     | TypeScript         |        799 |         29 |        188 |      1,016 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/mouseCursor/mouseCursor.css                                                         | CSS                |          7 |          5 |          3 |         15 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/mouseCursor/mouseCursor.ts                                                          | TypeScript         |          2 |          4 |          3 |          9 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/progressbar/progressbar.css                                                         | CSS                |         30 |         14 |          8 |         52 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/progressbar/progressbar.ts                                                          | TypeScript         |        140 |         31 |         48 |        219 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/sash/sash.css                                                                       | CSS                |        108 |          5 |         24 |        137 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/sash/sash.ts                                                                        | TypeScript         |        386 |          8 |        102 |        496 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/abstractScrollbar.ts                                                      | TypeScript         |        229 |         21 |         47 |        297 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/horizontalScrollbar.ts                                                    | TypeScript         |         89 |          4 |         18 |        111 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/media/scrollbars.css                                                      | CSS                |         88 |          8 |         16 |        112 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/scrollableElement.ts                                                      | TypeScript         |        471 |         57 |        123 |        651 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/scrollableElementOptions.ts                                               | TypeScript         |         58 |         99 |          5 |        162 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/scrollbarArrow.ts                                                         | TypeScript         |         89 |          8 |         18 |        115 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/scrollbarState.ts                                                         | TypeScript         |        141 |         59 |         40 |        240 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/scrollbarVisibilityController.ts                                          | TypeScript         |         84 |          8 |         17 |        109 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/scrollbar/verticalScrollbar.ts                                                      | TypeScript         |         89 |          5 |         17 |        111 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/selectBox/selectBox.css                                                             | CSS                |         21 |          5 |          7 |         33 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/selectBox/selectBox.ts                                                              | TypeScript         |         99 |         10 |         28 |        137 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/selectBox/selectBoxCustom.css                                                       | CSS                |         95 |          7 |         22 |        124 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/selectBox/selectBoxCustom.ts                                                        | TypeScript         |        740 |         99 |        215 |      1,054 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/selectBox/selectBoxNative.ts                                                        | TypeScript         |        141 |          8 |         38 |        187 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/splitview/paneview.css                                                              | CSS                |        110 |          8 |         26 |        144 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/splitview/paneview.ts                                                               | TypeScript         |        427 |         15 |        135 |        577 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/splitview/splitview.css                                                             | CSS                |         54 |          4 |         13 |         71 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/splitview/splitview.ts                                                              | TypeScript         |        800 |         24 |        211 |      1,035 |
